报告期,报表核心指标,*所有者权益（或股东权益）合计,*资产合计,*负债合计,*归属于母公司所有者权益合计,报表全部指标,流动资产,货币资金,拆出资金,交易性金融资产,应收票据及应收账款,其中：应收票据,应收账款,预付款项,其他应收款合计,其中：应收利息,其他应收款,存货,一年内到期的非流动资产,其他流动资产,总现金,流动资产合计,非流动资产,可供出售金融资产,持有至到期投资,长期股权投资,其他非流动金融资产,投资性房地产,固定资产合计,其中：固定资产,固定资产清理,在建工程合计,其中：在建工程,工程物资,无形资产,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,流动负债,短期借款,应付票据及应付账款,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,其他应付款合计,其中：应付利息,应付股利,其他应付款,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,长期应付款合计,其中：长期应付款,专项应付款,递延所得税负债,非流动负债合计,负债合计,所有者权益（或股东权益）,实收资本（或股本）,资本公积,减：库存股,其他综合收益,盈余公积,未分配利润,归属于母公司所有者权益合计,少数股东权益,所有者权益（或股东权益）合计,负债和所有者权益（或股东权益）合计
2025-09-30,,2657.05亿,3047.38亿,390.33亿,2570.70亿,,,517.53亿,1354.03亿,False,52.35亿,52.10亿,2553.17万,2122.98万,7107.39万,False,False,558.59亿,46.86亿,5325.16万,517.53亿,2565.87亿,,False,False,False,40.36亿,381.85万,211.71亿,False,False,35.35亿,False,False,86.49亿,1.37亿,58.12亿,1.81亿,481.51亿,3047.38亿,,False,28.22亿,28.22亿,False,77.49亿,4.72亿,68.40亿,53.75亿,False,False,False,5744.78万,9.75亿,387.63亿,,False,False,False,False,6466.45万,2.70亿,390.33亿,,12.56亿,13.75亿,60.00亿,-105.52万,485.04亿,2108.75亿,2570.70亿,86.35亿,2657.05亿,3047.38亿
2025-06-30,,2491.36亿,2922.58亿,431.22亿,2386.47亿,,,516.45亿,1263.51亿,False,28.54亿,28.16亿,3796.12万,2150.47万,4993.36万,False,4993.36万,549.72亿,7.18亿,7375.22万,516.45亿,2454.78亿,,False,False,False,40.31亿,722.17万,217.58亿,217.58亿,False,27.62亿,27.62亿,False,87.17亿,1.42亿,56.54亿,1.87亿,467.79亿,2922.58亿,,False,29.52亿,29.52亿,False,55.07亿,4.27亿,62.34亿,63.28亿,False,False,63.28亿,5543.58万,7.06亿,428.43亿,,False,False,False,False,6615.47万,2.79亿,431.22亿,,12.56亿,13.75亿,52.02亿,77.87万,485.04亿,1916.51亿,2386.47亿,104.89亿,2491.36亿,2922.58亿
2025-03-31,,2681.90亿,3123.69亿,441.78亿,2583.58亿,,,521.99亿,1544.69亿,False,21.43亿,21.27亿,1519.93万,4288.32万,4741.79万,False,False,547.98亿,17.11亿,5268.29万,521.99亿,2665.07亿,,False,False,False,40.30亿,738.97万,215.48亿,False,False,27.99亿,False,False,87.82亿,1.47亿,51.61亿,2.01亿,458.62亿,3123.69亿,,False,37.45亿,37.45亿,False,87.88亿,7.97亿,76.70亿,66.33亿,False,False,False,4364.80万,10.90亿,438.70亿,,False,False,False,False,6655.51万,3.08亿,441.78亿,,12.56亿,13.75亿,15.99亿,-663.57万,466.36亿,2096.35亿,2583.58亿,98.32亿,2681.90亿,3123.69亿
2024-12-31,,2420.11亿,2989.45亿,569.33亿,2331.06亿,,,592.96亿,1271.87亿,2.49亿,20.03亿,19.84亿,1897.42万,2697.50万,2995.57万,False,False,543.43亿,12.11亿,1.60亿,595.44亿,2517.27亿,,False,False,False,40.29亿,762.52万,218.71亿,False,False,21.50亿,False,False,88.50亿,1.52亿,55.20亿,2.32亿,472.18亿,2989.45亿,,False,35.15亿,35.15亿,False,95.92亿,58.24亿,77.18亿,54.29亿,False,False,False,1.12亿,12.23亿,565.16亿,,False,False,False,False,1.03亿,4.17亿,569.33亿,,12.56亿,13.75亿,False,-991.62万,466.36亿,1827.87亿,2331.06亿,89.05亿,2420.11亿,2989.45亿
2024-09-30,,2476.88亿,2867.71亿,390.83亿,2377.09亿,,,600.85亿,1226.86亿,2.01亿,11.59亿,11.49亿,1013.17万,4175.43万,6321.67万,False,False,482.25亿,1.54亿,1975.14万,602.86亿,2384.20亿,,False,False,False,40.12亿,438.47万,202.38亿,False,False,28.79亿,False,False,86.69亿,1.54亿,59.08亿,2.14亿,483.51亿,2867.71亿,,False,26.52亿,26.52亿,False,99.31亿,4.47亿,63.43亿,56.33亿,False,5700.00万,False,4792.67万,12.35亿,387.24亿,,False,False,False,False,7481.81万,3.59亿,390.83亿,,12.56亿,13.75亿,False,-636.72万,411.20亿,1929.04亿,2377.09亿,99.79亿,2476.88亿,2867.71亿
2024-06-30,,2280.45亿,2792.07亿,511.62亿,2185.76亿,,,568.40亿,1152.94亿,38.29亿,3.33亿,3.32亿,135.86万,2430.71万,5359.85万,False,5359.85万,477.66亿,1.53亿,5588.58万,606.69亿,2322.57亿,,False,False,False,40.08亿,455.33万,198.33亿,198.33亿,False,25.60亿,25.60亿,False,87.19亿,1.58亿,49.74亿,2.01亿,469.50亿,2792.07亿,,False,32.91亿,32.91亿,False,99.93亿,4.32亿,58.10亿,64.42亿,False,False,64.42亿,6041.16万,12.40亿,508.07亿,,False,False,False,False,7815.66万,3.56亿,511.62亿,,12.56亿,13.75亿,False,-827.24万,411.20亿,1737.72亿,2185.76亿,94.69亿,2280.45亿,2792.07亿
2024-03-31,,2485.37亿,2855.25亿,369.88亿,2397.32亿,,,741.97亿,1050.61亿,38.12亿,2.14亿,1.41亿,7312.47万,4120.47万,2629.73万,False,False,468.52亿,False,6106.25万,780.09亿,2373.77亿,,False,False,False,40.05亿,395.94万,195.42亿,False,False,28.13亿,False,False,85.18亿,1.58亿,44.77亿,1.54亿,481.48亿,2855.25亿,,False,40.23亿,40.23亿,False,95.23亿,7.64亿,70.16亿,57.17亿,False,False,False,5612.80万,11.46亿,366.27亿,,False,False,False,False,8083.54万,3.61亿,369.88亿,,12.56亿,13.75亿,False,-810.98万,389.99亿,1970.48亿,2397.32亿,88.05亿,2485.37亿,2855.25亿
2023-12-31,,2236.56亿,2727.00亿,490.43亿,2156.69亿,,,690.70亿,1055.54亿,4.01亿,7430.69万,1393.34万,6037.34万,3458.51万,2750.21万,False,2750.21万,464.35亿,False,7140.39万,694.71亿,2251.73亿,,False,False,False,40.02亿,413.85万,199.09亿,199.09亿,False,21.37亿,21.37亿,False,85.72亿,1.60亿,46.46亿,1.10亿,475.27亿,2727.00亿,,False,30.93亿,30.93亿,False,141.26亿,54.02亿,69.50亿,52.13亿,False,False,52.13亿,5705.49万,18.22亿,486.98亿,,False,False,False,False,7894.31万,3.46亿,490.43亿,,12.56亿,13.75亿,False,-606.17万,389.99亿,1729.83亿,2156.69亿,79.88亿,2236.56亿,2727.00亿
2023-09-30,,2250.19亿,2620.76亿,370.58亿,2178.09亿,,,706.41亿,956.26亿,35.09亿,1.31亿,False,1.31亿,1.11亿,6421.20万,False,False,409.90亿,False,4320.68万,741.50亿,2184.73亿,,False,False,False,40.01亿,443.91万,189.13亿,False,False,29.36亿,False,False,84.36亿,1.42亿,48.57亿,False,436.04亿,2620.76亿,,False,21.52亿,21.52亿,False,113.95亿,4.28亿,59.11亿,57.64亿,False,8673.00万,False,6236.64万,14.26亿,366.64亿,,False,False,False,False,8043.76万,3.94亿,370.58亿,,12.56亿,13.75亿,False,-906.92万,339.98亿,1801.27亿,2178.09亿,72.10亿,2250.19亿,2620.76亿
2023-06-30,,2092.47亿,2416.04亿,323.57亿,2009.16亿,,,705.21亿,857.27亿,2.00亿,3257.13万,False,3257.13万,1.02亿,6037.20万,False,6037.20万,408.68亿,False,4885.91万,707.21亿,2030.33亿,,False,False,False,False,450.63万,192.43亿,192.43亿,False,26.79亿,26.79亿,False,83.81亿,1.44亿,40.95亿,False,385.72亿,2416.04亿,,False,19.82亿,19.82亿,False,73.34亿,3.71亿,61.89亿,58.08亿,False,4.78亿,53.30亿,6944.11万,9.07亿,319.55亿,,False,False,False,False,8389.99万,4.01亿,323.57亿,,12.56亿,13.75亿,False,-577.81万,339.98亿,1632.31亿,2009.16亿,83.31亿,2092.47亿,2416.04亿
