报告期,报表核心指标,*现金及现金等价物净增加额,*经营活动产生的现金流量净额,*投资活动产生的现金流量净额,*筹资活动产生的现金流量净额,*期末现金及现金等价物余额,报表全部指标,一、经营活动产生的现金流量,销售商品、提供劳务收到的现金,收到的税费与返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,二、投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,三、筹资活动产生的现金流量,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,补充资料：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动产生的现金流量净额,2、不涉及现金收支的重大投资和筹资活动：,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,间接法-现金及现金等价物净增加额
2025-09-30,,-104.68亿,381.97亿,-54.23亿,-432.44亿,1595.02亿,,,1387.92亿,False,44.30亿,1367.34亿,85.95亿,123.93亿,591.09亿,75.67亿,985.37亿,381.97亿,,131.05亿,8020.29万,8.70万,2470.83万,132.10亿,22.83亿,163.46亿,480.87万,186.34亿,-54.23亿,,False,False,False,False,False,False,372.13亿,25.41亿,60.31亿,432.44亿,-432.44亿,274.25万,-104.68亿,1699.70亿,1595.02亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False
2025-06-30,,-270.85亿,131.19亿,-3.14亿,-398.93亿,1428.85亿,,,950.87亿,False,39.59亿,980.03亿,60.76亿,99.66亿,416.70亿,40.72亿,848.83亿,131.19亿,,13.45亿,3752.70万,4.74万,234.26万,13.85亿,15.96亿,1.00亿,340.81万,16.99亿,-3.14亿,,False,False,False,False,False,False,346.71亿,False,52.22亿,398.93亿,-398.93亿,327.70万,-270.85亿,1699.70亿,1428.85亿,,,469.87亿,False,9.67亿,1.40亿,1056.05万,-51.19万,170.96万,-175.80万,436.96万,-5.92万,-1.34亿,-3721.30万,-6.28亿,-206.79亿,-135.06亿,False,131.19亿,,,1343.99亿,1642.98亿,84.86亿,56.72亿,-270.85亿
2025-03-31,,65.78亿,88.09亿,-6.24亿,-16.07亿,1765.48亿,,,561.44亿,False,16.89亿,505.84亿,26.63亿,76.62亿,221.68亿,11.27亿,417.75亿,88.09亿,,2.45亿,3239.73万,7800.00,169.20万,2.79亿,9.01亿,False,235.06万,9.03亿,-6.24亿,,False,False,False,False,False,False,False,False,16.07亿,16.07亿,-16.07亿,83.26万,65.78亿,1699.70亿,1765.48亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False
2024-12-31,,196.10亿,924.64亿,-17.85亿,-710.68亿,1699.70亿,,,1826.45亿,False,32.58亿,2000.86亿,108.25亿,153.53亿,770.56亿,90.15亿,1076.23亿,924.64亿,,85.50亿,9238.22万,71.57万,553.25万,86.49亿,46.79亿,57.45亿,998.50万,104.34亿,-17.85亿,,False,False,False,False,False,False,709.51亿,21.64亿,1.16亿,710.68亿,-710.68亿,-108.27万,196.10亿,1503.60亿,1699.70亿,,,893.35亿,False,18.16亿,2.49亿,2019.16万,-38.89万,728.73万,-6098.07万,1447.46万,-913.03万,-8.74亿,2442.47万,-79.08亿,17.61亿,80.66亿,False,924.64亿,,,1642.98亿,1473.60亿,56.72亿,30.00亿,196.10亿
2024-09-30,,48.27亿,444.21亿,-6.05亿,-389.89亿,1551.87亿,,,1296.85亿,281.82万,23.74亿,1346.38亿,81.49亿,126.69亿,567.21亿,69.92亿,902.17亿,444.21亿,,62.00亿,6839.95万,7.50万,553.25万,62.74亿,28.74亿,40.00亿,504.98万,68.79亿,-6.05亿,,False,False,False,False,False,False,389.42亿,1.56亿,4685.46万,389.89亿,-389.89亿,-6.54万,48.27亿,1503.60亿,1551.87亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False
2024-06-30,,-50.93亿,366.22亿,-28.99亿,-388.16亿,1452.67亿,,,870.94亿,281.82万,22.59亿,1022.42亿,49.60亿,100.32亿,389.82亿,40.17亿,656.20亿,366.22亿,,26.00亿,3130.81万,7.45万,523.25万,26.37亿,15.31亿,40.00亿,448.38万,55.35亿,-28.99亿,,False,False,False,False,False,False,387.86亿,False,2927.67万,388.16亿,-388.16亿,-69.90万,-50.93亿,1503.60亿,1452.67亿,,,431.77亿,False,8.84亿,1.09亿,872.11万,-6.73万,23.02万,-3553.38万,574.81万,-228.81万,-3.28亿,-78.65万,-13.31亿,-79.39亿,20.57亿,False,366.22亿,,,1382.67亿,1473.60亿,70.00亿,30.00亿,-50.93亿
2024-03-31,,84.08亿,91.87亿,-7.67亿,-1175.63万,1587.69亿,,,462.57亿,False,12.28亿,445.46亿,15.16亿,72.00亿,207.27亿,24.23亿,353.58亿,91.87亿,,False,2747.85万,6.60万,512.22万,3266.67万,7.96亿,False,309.01万,7.99亿,-7.67亿,,False,False,False,False,False,False,False,False,1175.63万,1175.63万,-1175.63万,-67.18万,84.08亿,1503.60亿,1587.69亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False
2023-12-31,,-20.19亿,665.93亿,-97.24亿,-588.89亿,1503.60亿,,,1637.00亿,150.00万,23.46亿,1682.56亿,110.29亿,138.45亿,666.83亿,79.44亿,1016.63亿,665.93亿,,75.50亿,1.41亿,2494.84万,460.59万,77.20亿,26.20亿,148.18亿,702.19万,174.45亿,-97.24亿,,False,False,False,False,False,False,587.55亿,22.05亿,1.34亿,588.89亿,-588.89亿,171.83万,-20.19亿,1523.79亿,1503.60亿,,,775.21亿,False,17.24亿,1.97亿,1688.66万,47.97万,-163.23万,-315.20万,1262.46万,-3402.60万,-10.51亿,-8368.50万,-76.11亿,-34.65亿,-5.92亿,False,665.93亿,,,1473.60亿,1523.79亿,30.00亿,False,-20.19亿
2023-09-30,,69.61亿,500.02亿,-83.16亿,-347.25亿,1593.40亿,,,1112.54亿,150.00万,22.82亿,1125.10亿,78.32亿,111.36亿,490.77亿,49.82亿,625.08亿,500.02亿,,20.00亿,1.29亿,93.47万,372.68万,21.34亿,19.45亿,85.00亿,607.12万,104.50亿,-83.16亿,,False,False,False,False,False,False,346.61亿,21.12亿,6329.22万,347.25亿,-347.25亿,63.50万,69.61亿,1523.79亿,1593.40亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False
2023-06-30,,-26.89亿,303.87亿,-4.80亿,-325.97亿,1496.90亿,,,690.73亿,150.00万,15.42亿,687.89亿,60.74亿,90.00亿,328.76亿,28.66亿,384.02亿,303.87亿,,20.00亿,1.28亿,80.64万,127.30万,21.30亿,14.05亿,12.00亿,543.95万,26.10亿,-4.80亿,,False,False,False,False,False,False,325.49亿,False,4815.22万,325.97亿,-325.97亿,191.71万,-26.89亿,1523.79亿,1496.90亿,,,373.32亿,False,8.60亿,9261.82万,657.79万,327.75万,639.69万,7.98万,626.18万,-407.87万,-5.00亿,-7872.82万,-20.44亿,124.39亿,-176.78亿,False,303.87亿,,,1442.20亿,1523.79亿,54.71亿,False,-26.89亿
