报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2025-09-30,646.27亿,6.25%,646.81亿,6.42%,1309.04亿,6.32%,51.5300,205.28,1.10,168.39,30.50,52.08%,91.29%,24.64%,25.14%,1330.10,0.20,1330.05,0.05,6.62,5.06,1.47,0.15,12.81%
2025-06-30,454.03亿,8.89%,453.90亿,8.93%,910.94亿,9.16%,36.1800,189.98,1.09,152.56,10.44,52.56%,91.30%,17.89%,19.03%,1264.99,0.14,1264.93,0.06,5.73,4.43,1.27,0.18,14.75%
2025-03-31,268.47亿,11.56%,268.50亿,11.64%,514.43亿,10.67%,21.3800,205.67,1.09,166.88,7.01,54.89%,91.97%,10.92%,10.39%,1209.71,0.07,1209.68,0.03,6.07,4.78,1.24,0.17,14.14%
2024-12-31,862.28亿,15.38%,862.41亿,15.37%,1741.44亿,15.66%,68.6400,185.56,1.09,145.51,73.61,52.27%,91.93%,36.02%,36.99%,1315.39,0.27,1315.31,0.08,4.45,3.47,1.09,0.24,19.04%
2024-09-30,608.28亿,15.04%,607.79亿,15.08%,1231.23亿,16.91%,48.4200,189.23,1.09,153.56,35.36,52.19%,91.53%,26.09%,25.59%,1249.50,0.22,1249.42,0.08,6.16,4.91,1.59,0.16,13.63%
2024-06-30,416.96亿,15.88%,416.70亿,15.92%,834.51亿,17.56%,33.1900,174.00,1.09,138.33,29.15,52.70%,91.76%,17.63%,19.08%,1256.17,0.14,1256.11,0.07,4.57,3.63,1.20,0.23,18.32%
2024-03-31,240.65亿,15.73%,240.51亿,15.75%,464.85亿,18.04%,19.1600,190.84,1.09,156.86,7.31,54.36%,92.61%,10.57%,10.04%,1241.51,0.07,1241.38,0.13,6.48,5.20,2.14,0.15,12.95%
2023-12-31,747.34亿,19.16%,747.53亿,19.05%,1505.60亿,18.04%,59.4900,171.68,1.09,137.70,53.01,52.49%,91.96%,34.19%,34.65%,1293.20,0.28,1293.10,0.10,4.62,3.67,1.43,0.23,17.98%
2023-09-30,528.76亿,19.09%,528.16亿,18.97%,1053.16亿,17.30%,42.0900,173.39,1.09,143.39,39.80,53.09%,91.71%,24.82%,24.28%,1258.35,0.21,1258.15,0.20,5.96,4.84,2.03,0.17,14.14%
2023-06-30,359.80亿,20.76%,359.47亿,20.78%,709.87亿,19.42%,28.6400,159.94,1.09,129.94,24.19,53.66%,91.80%,16.70%,17.91%,1257.05,0.14,1256.98,0.07,6.35,5.07,2.22,0.16,13.39%
2023-03-31,207.95亿,20.59%,207.78亿,20.50%,393.79亿,18.66%,16.5500,173.76,1.09,144.94,4.18,55.54%,92.60%,10.00%,9.53%,1236.36,0.07,1236.26,0.09,6.94,5.66,2.31,0.15,12.36%
2022-12-31,627.17亿,19.55%,627.92亿,19.42%,1275.54亿,16.53%,49.9300,157.23,1.09,128.40,29.21,52.68%,91.87%,30.26%,31.75%,1288.08,0.28,1288.01,0.06,4.41,3.56,1.19,0.25,19.42%
2022-09-30,444.00亿,19.14%,443.93亿,18.84%,897.86亿,16.52%,35.3400,164.55,1.09,136.97,7.49,53.14%,91.87%,21.91%,21.48%,1306.87,0.21,1306.87,False,6.19,5.14,1.72,0.17,13.85%
2022-06-30,297.94亿,20.85%,297.63亿,20.75%,594.44亿,17.20%,23.7200,152.92,1.09,125.34,-0.0089,53.99%,92.11%,14.57%,15.51%,1352.37,0.13,1352.37,False,4.95,4.09,1.42,0.22,17.26%
2022-03-31,172.45亿,23.58%,172.43亿,23.43%,331.87亿,18.25%,13.7300,164.61,1.09,141.67,-5.47,55.59%,92.37%,8.70%,8.34%,1226.16,0.07,1226.16,False,5.98,5.03,1.56,0.18,14.48%
2021-12-31,524.60亿,12.34%,525.81亿,11.84%,1094.64亿,11.71%,41.7600,150.88,1.09,127.94,50.97,52.47%,91.54%,29.90%,27.68%,1247.40,0.29,1247.40,False,3.81,3.23,0.90,0.31,22.81%
2021-09-30,372.66亿,10.17%,373.57亿,10.19%,770.53亿,10.75%,29.6700,138.79,1.09,116.62,29.26,53.02%,91.19%,21.68%,21.37%,1216.76,0.22,1216.76,False,4.43,3.71,1.18,0.25,19.53%
2021-06-30,246.54亿,9.08%,246.49亿,8.72%,507.22亿,11.15%,19.6300,128.75,1.09,106.58,17.29,53.39%,91.38%,14.20%,15.24%,1265.82,0.14,1265.82,False,4.05,3.35,1.24,0.28,21.28%
2021-03-31,139.54亿,6.57%,139.69亿,6.19%,280.65亿,10.93%,11.1100,139.53,1.09,120.64,-1.18,54.17%,91.68%,8.29%,7.96%,1159.79,0.08,1159.79,False,5.75,4.80,1.61,0.19,15.21%
2020-12-31,466.97亿,13.33%,470.16亿,13.55%,979.93亿,10.29%,37.1700,128.42,1.09,109.53,41.13,52.18%,91.41%,31.41%,28.95%,1195.62,0.30,1195.62,False,4.06,3.41,0.82,0.28,21.40%
2020-09-30,338.27亿,11.07%,339.02亿,11.03%,695.75亿,9.55%,26.9300,118.18,1.09,99.32,19.99,53.34%,91.33%,23.20%,22.79%,1210.22,0.22,1210.22,False,5.18,4.25,0.96,0.20,16.47%
2020-06-30,226.02亿,13.29%,226.73亿,13.19%,456.34亿,10.84%,17.9900,109.24,1.09,90.39,10.05,54.44%,91.46%,15.34%,16.47%,1237.11,0.15,1237.11,False,4.89,3.97,0.90,0.22,17.24%
2020-03-31,130.94亿,16.69%,131.55亿,16.40%,252.98亿,12.54%,10.4200,118.69,1.09,102.68,1.83,56.80%,91.67%,9.18%,8.78%,1119.40,0.08,1119.40,False,6.12,5.08,0.82,0.17,14.25%
2019-12-31,412.06亿,17.05%,414.07亿,16.36%,888.54亿,15.10%,32.8000,108.27,1.09,92.26,35.99,51.47%,91.30%,33.09%,30.30%,1181.88,0.30,1181.88,False,3.87,3.22,0.36,0.30,22.49%
2019-09-30,304.55亿,23.13%,305.34亿,22.48%,635.09亿,15.53%,24.2400,99.71,1.09,83.93,21.74,53.19%,91.49%,24.92%,24.31%,1230.07,0.22,1230.07,False,4.42,3.60,3.59,0.25,19.52%
2019-06-30,199.51亿,26.56%,200.31亿,26.11%,411.73亿,16.80%,15.8800,91.35,1.09,75.57,19.17,53.68%,91.87%,16.21%,17.39%,1331.36,0.14,1331.36,False,3.14,2.58,2.57,0.40,27.56%
2019-03-31,112.21亿,31.91%,113.02亿,32.79%,224.81亿,22.21%,8.9300,98.76,1.09,85.34,0.95,55.05%,92.11%,9.47%,9.05%,1253.48,0.07,1253.48,False,4.51,3.69,3.69,0.25,19.12%
