SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,REPORT_TYPE,REPORT,STD_ITEM_CODE,AMOUNT,ITEM_NAME
AAPL.O,AAPL,苹果,2025-09-27 00:00:00,年报,2025/FY,004001001,35934000000.0,现金及现金等价物
AAPL.O,AAPL,苹果,2024-09-28 00:00:00,年报,2024/FY,004001001,29943000000.0,现金及现金等价物
AAPL.O,AAPL,苹果,2023-09-30 00:00:00,年报,2023/FY,004001001,29965000000.0,现金及现金等价物
AAPL.O,AAPL,苹果,2022-09-24 00:00:00,年报,2022/FY,004001001,23646000000.0,现金及现金等价物
AAPL.O,AAPL,苹果,2021-09-25 00:00:00,年报,2021/FY,004001001,34940000000.0,现金及现金等价物
AAPL.O,AAPL,苹果,2020-09-26 00:00:00,年报,2020/FY,004001001,38016000000.0,现金及现金等价物
AAPL.O,AAPL,苹果,2019-09-28 00:00:00,年报,2019/FY,004001001,48844000000.0,现金及现金等价物
AAPL.O,AAPL,苹果,2018-09-29 00:00:00,年报,2018/FY,004001001,25913000000.0,现金及现金等价物
AAPL.O,AAPL,苹果,2017-09-30 00:00:00,年报,2017/FY,004001001,20289000000.0,现金及现金等价物
AAPL.O,AAPL,苹果,2016-09-24 00:00:00,年报,2016/FY,004001001,20484000000.0,现金及现金等价物
AAPL.O,AAPL,苹果,2015-09-26 00:00:00,年报,2015/FY,004001001,21120000000.0,现金及现金等价物
AAPL.O,AAPL,苹果,2014-09-27 00:00:00,年报,2014/FY,004001001,13844000000.0,现金及现金等价物
AAPL.O,AAPL,苹果,2013-09-28 00:00:00,年报,2013/FY,004001001,14259000000.0,现金及现金等价物
AAPL.O,AAPL,苹果,2012-09-29 00:00:00,年报,2012/FY,004001001,10746000000.0,现金及现金等价物
AAPL.O,AAPL,苹果,2011-09-24 00:00:00,年报,2011/FY,004001001,9815000000.0,现金及现金等价物
AAPL.O,AAPL,苹果,2010-09-25 00:00:00,年报,2010/FY,004001001,11261000000.0,现金及现金等价物
AAPL.O,AAPL,苹果,2009-09-26 00:00:00,年报,2009/FY,004001001,5263000000.0,现金及现金等价物
AAPL.O,AAPL,苹果,2008-09-27 00:00:00,年报,2008/FY,004001001,11875000000.0,现金及现金等价物
AAPL.O,AAPL,苹果,2007-09-29 00:00:00,年报,2007/FY,004001001,9352000000.0,现金及现金等价物
AAPL.O,AAPL,苹果,2006-09-30 00:00:00,年报,2006/FY,004001001,6392000000.0,现金及现金等价物
AAPL.O,AAPL,苹果,2005-09-24 00:00:00,年报,2005/FY,004001001,3491000000.0,现金及现金等价物
AAPL.O,AAPL,苹果,2004-09-25 00:00:00,年报,2004/FY,004001001,2969000000.0,现金及现金等价物
